epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4217,4.23452,7.42611,4.2914,9.99532,0.00041,0.02604,0.00022,2e-05,0,0,0,0,4.1897,4.17659,4.60088,9.70684,0.000192308,0.000192308,0.000192308
2,38.5541,3.98246,4.60951,4.05027,9.32848,0.00041,0.02604,0.00023,2e-05,0,0,0,0,4.20374,4.14221,4.62613,9.73849,0.000391921,0.000391921,0.000391921
3,56.8074,2.97421,3.71454,3.13626,7.3592,0.00085,0.05078,0.00053,8e-05,0,0,0,0,4.02077,4.03784,4.5294,9.25823,0.000589972,0.000589972,0.000589972
4,75.5201,2.29478,3.1033,2.34123,5.76426,0.00061,0.3138,0.02773,0.0069,0.00056,0.28776,0.02966,0.0067,2.95352,3.72807,4.10642,6.97629,0.000785291,0.000785291,0.000785291
5,94.2308,1.92156,2.78065,1.87324,4.91503,0.3081,0.125,0.11045,0.04537,0.28412,0.11198,0.09236,0.02191,2.43192,5.32339,5.32048,7.63676,0.00097672,0.00097672,0.00097672
6,112.919,1.69047,2.62796,1.62975,4.4042,0.26166,0.22656,0.11685,0.033,0.16312,0.15365,0.04501,0.01126,2.26496,13.3377,4.35639,7.01838,0.00116313,0.00116313,0.00116313
7,133.381,1.57671,2.56401,1.52439,4.11767,0.07819,0.0625,0.02419,0.00538,0.01672,0.13281,0.00431,0.00136,2.43047,32.0224,21.2868,12.916,0.00134342,0.00134342,0.00134342
8,152.46,1.46316,2.46652,1.42602,3.88911,0.31325,0.29167,0.19174,0.06868,0.2916,0.21615,0.14144,0.05076,2.06781,10.0783,2.50611,6.38651,0.00151654,0.00151654,0.00151654
9,169.854,1.41916,2.42493,1.34652,3.78453,0.66179,0.41927,0.42632,0.22034,0.67998,0.41016,0.41673,0.19995,1.45425,3.38206,1.36042,3.87782,0.00168146,0.00168146,0.00168146
10,188.493,1.39143,2.42614,1.34034,3.69444,0.68877,0.33854,0.37932,0.20033,0.7254,0.30613,0.3359,0.13588,1.44592,5.20304,1.5327,4.0798,0.00183724,0.00183724,0.00183724
11,206.417,1.3478,2.40478,1.28717,3.58962,0.4437,0.25521,0.26893,0.12924,0.45239,0.26432,0.26705,0.1103,1.82855,5.92641,2.10186,4.58842,0.00180902,0.00180902,0.00180902
12,224.176,1.30386,2.37528,1.26138,3.50221,0.21286,0.27474,0.15832,0.06941,0.16594,0.21615,0.08326,0.0373,1.71235,16.9895,4.13167,5.93509,0.00177052,0.00177052,0.00177052
